,Simplified,Pinyin,English,Level,Part of Speech,No.
2345,非洲,Fēizhōu,Africa,5,noun,347.0
2346,分别,fēnbié,to part; respectively; difference,5,verb、adverb、noun,348.0
2347,分布,fēnbù,to distribute; to spread,5,verb,349.0
2348,纷纷,fēnfēn,numerous and confused; one after another,5,adjective、adverb,350.0
2349,分类,fēnlèi,to classify,5,verb,351.0
2350,分离,fēnlí,to separate,5,verb,352.0
2351,分配,fēnpèi,to allocate; to distribute,5,verb,353.0
2352,分手,fēnshǒu,to break up; to part ways,5,verb,354.0
2353,分析,fēnxī,to analyze,5,verb,355.0
2354,分享,fēnxiǎng,to share,5,verb,356.0
2355,奋斗,fèndòu,to strive; to struggle,5,verb,357.0
2356,丰富多彩,fēngfù-duōcǎi,,5,rich and colorful,358.0
2357,风格,fēnggé,style,5,noun,359.0
2358,疯狂,fēngkuáng,crazy; insane,5,adjective,360.0
2359,风俗,fēngsú,custom; tradition,5,noun,361.0
2360,风险,fēngxiǎn,risk,5,noun,362.0
2361,否定,fǒudìng,to negate; negative,5,verb、adjective,363.0
2362,否认,fǒurèn,to deny,5,verb,364.0
2363,夫妇,fūfù,husband and wife,5,noun,365.0
2364,扶,fú,to support with hand,5,verb,366.0
2365,福,fú,blessing; good fortune,5,noun,367.0
2366,服装,fúzhuāng,clothing; apparel,5,noun,368.0
2367,副,fù,,5,measure word for pairs; sets,369.0
2368,富,fù,rich; wealthy,5,adjective,370.0
2369,付出,fùchū,to pay; to give,5,verb,371.0
2370,负担,fùdān,to bear; burden,5,verb、noun,372.0
2371,妇女,fùnǚ,woman,5,noun,373.0
2372,富有,fùyǒu,to possess; rich; wealthy,5,adjective、verb,374.0
2373,复制,fùzhì,to duplicate; to copy,5,verb,375.0
2374,改革,gǎigé,to reform; to change,5,verb,376.0
2375,改进,gǎijìn,to improve,5,verb,377.0
2376,改善,gǎishàn,to improve,5,verb,378.0
2377,改天,gǎitiān,some other day,5,adverb,379.0
2378,改正,gǎizhèng,to correct,5,verb,380.0
2379,盖,gài,lid; cover; to cover,5,noun、verb,381.0
2380,概括,gàikuò,to summarize; general,5,verb、adjective,382.0
2381,概念,gàiniàn,concept; idea,5,noun,383.0
2382,敢于,gǎnyú,to dare to,5,verb,384.0
2383,刚好,gānghǎo,just right; exactly; coincidentally,5,adjective、adverb,385.0
2384,高大,gāodà,tall; lofty,5,adjective,386.0
2385,高档,gāodàng,high-end; upscale,5,adjective,387.0
2386,高度,gāodù,height; high,5,noun、adjective,388.0
2387,高级,gāojí,advanced; high-level,5,adjective,389.0
2388,高科技,gāokējì,high technology; high-tech,5,noun,390.0
2389,高效,gāoxiào,efficient; high-efficiency,5,adjective,391.0
2390,搞,gǎo,to do; to make,5,verb,392.0
2391,告别,gàobié,to bid farewell; to say goodbye,5,verb,393.0
2392,歌词,gēcí,lyrics,5,noun,394.0
2393,歌曲,gēqǔ,song,5,noun,395.0
2394,隔,gé,to separate; to partition,5,verb,396.0
2395,格外,géwài,especially; particularly,5,adverb,397.0
2396,个别,gèbié,individual; a few; special; exceptional,5,adverb、adjective,398.0
2397,各行各业,gèháng-gèyè,,5,all trades and professions,399.0
2398,个人,gèrén,individual; personal,5,noun,400.0
2399,个性,gèxìng,personality; individuality,5,noun,401.0
2400,各自,gèzì,each; respective,5,pronoun,402.0
2401,根,gēn,root; measure word for long; thin objects,5,noun、,403.0
2402,根本,gēnběn,foundation; root; fundamental; simply,5,noun、adjective、adverb,404.0
2403,更换,gēnghuàn,to replace; to change,5,verb,405.0
2404,更新,gēngxīn,to update,5,verb,406.0
2405,公布,gōngbù,to announce; to make public,5,verb,407.0
2406,工程,gōngchéng,project; engineering,5,noun,408.0
2407,工程师,gōngchéngshī,engineer,5,noun,409.0
2408,工具,gōngjù,tool; instrument,5,noun,410.0
2409,功能,gōngnéng,function,5,noun,411.0
2410,公平,gōngpíng,fair; just,5,adjective,412.0
2411,公务员,gōngwùyuán,civil servant,5,noun,413.0
2412,恭喜,gōngxǐ,to congratulate,5,verb,414.0
2413,工业,gōngyè,industry,5,noun,415.0
2414,工艺,gōngyì,craft; technology,5,noun,416.0
2415,公寓,gōngyù,apartment,5,noun,417.0
2416,贡献,gòngxiàn,to contribute; contribution,5,verb、noun,418.0
2417,共享,gòngxiǎng,to share,5,verb,419.0
2418,沟通,gōutōng,to communicate,5,verb,420.0
2419,构成,gòuchéng,to constitute; composition,5,verb、noun,421.0
2420,古,gǔ,ancient,5,adjective,422.0
2421,鼓,gǔ,drum; to bulge; to swell; to encourage; to urge; bulging; plump,5,noun、verb、adjective,423.0
2422,古代,gǔdài,ancient times,5,noun,424.0
2423,古老,gǔlǎo,ancient,5,adjective,425.0
2424,鼓掌,gǔzhǎng,to applaud,5,verb,426.0
2425,固定,gùdìng,to fix; to fasten,5,verb,427.0
2426,故乡,gùxiāng,hometown,5,noun,428.0
2427,挂号,guàhào,to register for medical appointment,5,verb,429.0
2428,怪,guài,strange; to blame; quite,5,adjective、verb、adverb,430.0
2429,关闭,guānbì,to close,5,verb,431.0
2430,观察,guānchá,to observe,5,verb,432.0
2431,观点,guāndiǎn,viewpoint; opinion,5,noun,433.0
2432,观念,guānniàn,concept; idea,5,noun,434.0
2433,冠军,guànjūn,champion,5,noun,435.0
2434,光临,guānglín,to honor with one’s presence,5,verb,436.0
2435,光明,guāngmíng,brightness; bright; light,5,noun、adjective,437.0
2436,光线,guāngxiàn,light; ray,5,noun,438.0
2437,广,guǎng,wide; broad,5,adjective,439.0
2438,广场,guǎngchǎng,square; plaza,5,noun,440.0
2439,广大,guǎngdà,vast; extensive,5,adjective,441.0
2440,广泛,guǎngfàn,extensive; widespread,5,adjective,442.0
2441,规律,guīlǜ,law; regular pattern; regular,5,noun、adjective,443.0
2442,规模,guīmó,scale; size,5,noun,444.0
2443,规则,guīzé,rule; regulation; regular,5,noun、adjective,445.0
2444,贵姓,guìxìng,your honor surname,5,noun,446.0
2445,柜子,guìzi,cupboard; cabinet,5,noun,447.0
2446,滚,gǔn,to roll,5,verb,448.0
2447,锅,guō,pot,5,noun,449.0
2448,国画,guóhuà,traditional Chinese painting,5,noun,450.0
2449,国庆,guóqìng,National Day,5,noun,451.0
2450,果然,guǒrán,indeed; as expected,5,adverb,452.0
2451,果实,guǒshí,fruit,5,noun,453.0
2452,过度,guòdù,excessive,5,adjective,454.0
2453,过分,guòfèn,excessive; over the top,5,adjective,455.0
2454,过敏,guòmǐn,to be allergic,5,verb,456.0
2455,过期,guòqī,to expire,5,verb,457.0
2456,过于,guòyú,too; excessively,5,adverb,458.0
2457,哈,hā,ha; onomatopoeia for laughter,5,拟声、interjection,459.0
2458,海关,hǎiguān,customs,5,noun,460.0
2459,海外,hǎiwài,overseas; abroad,5,noun,461.0
2460,海鲜,hǎixiān,seafood,5,noun,462.0
2461,含,hán,to contain,5,verb,463.0
2462,含量,hánliàng,content,5,noun,464.0
2463,含有,hányǒu,to contain,5,verb,465.0
2464,汗水,hànshuǐ,sweat,5,noun,466.0
2465,行,háng,line; row; measure word for lines,5,noun、,467.0
2466,行业,hángyè,industry,5,noun,468.0
2467,好评,hǎopíng,positive review; praise,5,noun,469.0
2468,好运,hǎoyùn,good luck,5,noun,470.0
2469,好转,hǎozhuǎn,to take a turn for the better,5,verb,471.0
2470,好,hào,to like; to be fond of,5,verb,472.0
2471,好奇,hàoqí,curious,5,adjective,473.0
2472,合,hé,to close; to fit; to join,5,verb,474.0
2473,合法,héfǎ,legal; lawful,5,adjective,475.0
2474,盒饭,héfàn,boxed meal,5,noun,476.0
2475,合理,hélǐ,reasonable; rational,5,adjective,477.0
2476,河流,héliú,river,5,noun,478.0
2477,合同,hétóng,contract,5,noun,479.0
2478,合影,héyǐng,to take a group photo; group photo,5,verb、noun,480.0
2479,合作,hézuò,to cooperate,5,verb,481.0
2480,黑,hēi,black,5,adjective,482.0
2481,红,hóng,red,5,adjective,483.0
2482,猴子,hóuzi,monkey,5,noun,484.0
2483,厚度,hòudù,thickness,5,noun,485.0
2484,后果,hòuguǒ,consequence; aftermath,5,noun,486.0
2485,忽视,hūshì,to overlook; to ignore,5,verb,487.0
2486,呼吸,hūxī,to breathe,5,verb,488.0
2487,湖,hú,lake,5,noun,489.0
2488,蝴蝶,húdié,butterfly,5,noun,490.0
2489,胡同,hútòng,hutong; alley,5,noun,491.0
2490,互动,hùdòng,to interact,5,verb,492.0
2491,户外,hùwài,outdoors; outdoor,5,noun,493.0
2492,花费,huāfèi,to spend; to cost,5,verb,494.0
2493,滑,huá,slippery; to slide,5,adjective、verb,495.0
2494,划,huá,to row; to paddle,5,verb,496.0
2495,化,huà,suffix indicating change; transformation; (to change),5,suffix、（verb）,497.0
2496,话费,huàfèi,telephone bill; call charges,5,noun,498.0
2497,画面,huàmiàn,scene; picture; screen,5,noun,499.0
2498,话题,huàtí,topic; subject of discussion,5,noun,500.0
2499,化学,huàxué,chemistry,5,noun,501.0
2500,环节,huánjié,link; segment,5,noun,502.0
2501,缓解,huǎnjiě,to ease; to alleviate,5,verb,503.0
2502,缓慢,huǎnmàn,slow,5,adjective,504.0
2503,黄瓜,huángguā,cucumber,5,noun,505.0
2504,黄金,huángjīn,gold,5,noun,506.0
2505,灰,huī,ash; gray; gray,5,noun、adjective,507.0
2506,挥,huī,to wave; to wield,5,verb,508.0
2507,恢复,huīfù,to recover; to restore,5,verb,509.0
2508,灰色,huīsè,gray color; gray; ashen,5,noun、adjective,510.0
2509,回收,huíshōu,to recycle,5,verb,511.0
2510,汇率,huìlǜ,exchange rate,5,noun,512.0
2511,婚礼,hūnlǐ,wedding ceremony,5,noun,513.0
2512,伙,huǒ,,5,measure word for groups,514.0
2513,伙伴,huǒbàn,companion; partner,5,noun,515.0
2514,火锅,huǒguō,hot pot,5,noun,516.0
2515,或是,huòshì,or; either… or…,5,adverb、conjunction,517.0
2516,货物,huòwù,goods,5,noun,518.0
2517,或许,huòxǔ,perhaps; maybe,5,adverb,519.0
2518,机构,jīgòu,organization; institution,5,noun,520.0
2519,激烈,jīliè,fierce; intense,5,adjective,521.0
2520,机器,jīqì,machine,5,noun,522.0
2521,机器人,jīqìrén,robot,5,noun,523.0
2522,肌肉,jīròu,muscle,5,noun,524.0
2523,及,jí,and; as well as,5,conjunction,525.0
2524,级,jí,level; grade; measure word for steps,5,noun、,526.0
2525,集,jí,collection; volume; measure word for episodes,5,noun、,527.0
2526,疾病,jíbìng,disease,5,noun,528.0
2527,及格,jígé,to pass an exam,5,verb,529.0
2528,集合,jíhé,to gather; to assemble,5,verb,530.0
2529,即将,jíjiāng,soon; about to,5,adverb,531.0
2530,急忙,jímáng,hurriedly; hastily,5,adverb,532.0
2531,极其,jíqí,extremely,5,adverb,533.0
2532,集体,jítǐ,collective; group,5,noun,534.0
2533,急需,jíxū,to urgently need,5,verb,535.0
2534,急诊,jízhěn,to do emergency treatment; emergency case,5,verb、noun,536.0
2535,集中,jízhōng,to concentrate; concentrated,5,verb、adjective,537.0
2536,挤,jǐ,to crowd; to squeeze; crowded,5,verb、adjective,538.0
2537,系,jì,to tie; to fasten,5,verb,539.0
2538,季度,jìdù,quarter (of a year),5,noun,540.0
2539,记录,jìlù,to record; record,5,verb、noun,541.0
2540,纪录,jìlù,record as in achievement,5,noun,542.0
2541,纪录片,jìlùpiàn,documentary,5,noun,543.0
2542,技能,jìnéng,skill,5,noun,544.0
2543,纪念,jìniàn,to commemorate; commemoration; souvenir,5,verb、noun,545.0
2544,纪念日,jìniànrì,anniversary,5,noun,546.0
2545,计算,jìsuàn,to calculate,5,verb,547.0
2546,计算机,jìsuànjī,computer,5,noun,548.0
2547,记忆,jìyì,to remember; memory,5,verb、noun,549.0
2548,记载,jìzǎi,to record,5,verb,550.0
2549,嘉宾,jiābīn,guest; honored guest,5,noun,551.0
2550,家电,jiādiàn,household appliances,5,noun,552.0
2551,加工,jiāgōng,to process,5,verb,553.0
2552,加热,jiārè,to heat,5,verb,554.0
2553,加深,jiāshēn,to deepen,5,verb,555.0
2554,加速,jiāsù,to speed up,5,verb,556.0
2555,家务,jiāwù,household chores,5,noun,557.0
2556,甲,jiǎ,first; armor,5,noun,558.0
2557,假如,jiǎrú,if,5,conjunction,559.0
2558,架,jià,shelf; frame; to fight; measure word for planes; etc.,5,noun、verb、,560.0
2559,驾驶,jiàshǐ,to drive,5,verb,561.0
2560,驾照,jiàzhào,driver’s license,5,noun,562.0
2561,价值,jiàzhí,value,5,noun,563.0
2562,艰苦,jiānkǔ,arduous; difficult,5,adjective,564.0
2563,坚强,jiānqiáng,strong; steadfast,5,adjective,565.0
2564,捡,jiǎn,to pick up,5,verb,566.0
2565,剪,jiǎn,to cut,5,verb,567.0
2566,剪刀,jiǎndāo,scissors,5,noun,568.0
2567,减肥,jiǎnféi,to lose weight,5,verb,569.0
2568,简历,jiǎnlì,resume; CV,5,noun,570.0
2569,简直,jiǎnzhí,simply; absolutely,5,adverb,571.0
2570,建,jiàn,to build,5,verb,572.0
2571,键,jiàn,key (on keyboard); button,5,noun,573.0
2572,渐渐,jiànjiàn,gradually,5,adverb,574.0
2573,建立,jiànlì,to establish,5,verb,575.0
2574,键盘,jiànpán,keyboard,5,noun,576.0
2575,建设,jiànshè,to construct; to build,5,verb,577.0
2576,建造,jiànzào,to construct; to build,5,verb,578.0
2577,建筑,jiànzhù,to build; building; architecture,5,verb、noun,579.0
2578,将近,jiāngjìn,almost; nearly,5,adverb,580.0
2579,讲话,jiǎnghuà,speech,5,noun,581.0
2580,讲究,jiǎngjiu,to be particular about; exquisite; refined,5,verb、adjective,582.0
2581,奖励,jiǎnglì,to reward; to award,5,verb,583.0
2582,讲述,jiǎngshù,to narrate; to tell,5,verb,584.0
2583,讲座,jiǎngzuò,lecture; seminar,5,noun,585.0
2584,降水,jiàngshuǐ,to have precipitation; to precipitate,5,verb,586.0
2585,浇,jiāo,to water; to pour,5,verb,587.0
2586,交换,jiāohuàn,to exchange,5,verb,588.0
2587,交往,jiāowǎng,to associate; to interact,5,verb,589.0
2588,交易,jiāoyì,to trade; transaction; deal,5,verb、noun,590.0
2589,脚步,jiǎobù,footstep; step,5,noun,591.0
2590,角度,jiǎodù,angle,5,noun,592.0
2591,较,jiào,than; relatively; comparatively,5,preposition、adverb,593.0
2592,教材,jiàocái,teaching materials,5,noun,594.0
2593,接触,jiēchù,to contact,5,verb,595.0
2594,接待,jiēdài,to receive (guests); to host,5,verb,596.0
2595,阶段,jiēduàn,stage; phase,5,noun,597.0
2596,接近,jiējìn,to approach; to get close to,5,verb,598.0
2597,接收,jiēshōu,to receive,5,verb,599.0
2598,结,jié,to tie; to knot; result,5,verb、noun,600.0
2599,结构,jiégòu,structure,5,noun,601.0
2600,结合,jiéhé,to combine; to unite,5,verb,602.0
2601,结论,jiélùn,conclusion,5,noun,603.0
2602,节省,jiéshěng,to save; to economize,5,verb,604.0
2603,届,jiè,,5,measure word for sessions; terms,605.0
2604,今日,jīnrì,today,5,noun,606.0
2605,紧,jǐn,tight; to tighten,5,adjective、verb,607.0
2606,紧急,jǐnjí,urgent; critical,5,adjective,608.0
2607,尽快,jǐnkuài,as soon as possible,5,adverb,609.0
2608,尽量,jǐnliàng,to the best of one’s ability,5,adverb,610.0
2609,紧密,jǐnmì,close; tight,5,adjective,611.0
2610,谨慎,jǐnshèn,cautious; prudent,5,adjective,612.0
2611,进步,jìnbù,to advance; to improve; progress; improvement,5,verb、adjective,613.0
2612,近代,jìndài,modern times,5,noun,614.0
2613,进口,jìnkǒu,to import,5,verb,615.0
2614,尽力,jìnlì,to do one’s best,5,verb,616.0
2615,近年来,jìnnián lái,,5,in recent years,617.0
2616,近期,jìnqī,recent period,5,noun,618.0
2617,近日,jìnrì,recently; in recent days,5,noun,619.0
2618,进一步,jìnyíbù,further,5,adverb,620.0
2619,经典,jīngdiǎn,classic; classical,5,noun、adjective,621.0
2620,精力,jīnglì,energy; vigor,5,noun,622.0
2621,精神,jīngshen,spirit; mind; mental; lively,5,noun、adjective,623.0
2622,惊喜,jīngxǐ,pleasant surprise; delight,5,adjective,624.0
2623,经营,jīngyíng,to manage; to operate,5,verb,625.0
2624,静,jìng,quiet; still; to become quiet,5,adjective、verb,626.0
2625,酒吧,jiǔbā,bar,5,noun,627.0
2626,久远,jiǔyuǎn,long; remote; far-reaching,5,adjective,628.0
2627,救,jiù,to save; to rescue,5,verb,629.0
2628,救护车,jiùhùchē,ambulance,5,noun,630.0
2629,就业,jiùyè,to get a job; to be employed,5,verb,631.0
2630,居民,jūmín,resident,5,noun,632.0
2631,居然,jūrán,unexpectedly,5,adverb,633.0
2632,居住,jūzhù,to live; to reside,5,verb,634.0
2633,橘子,júzi,orange,5,noun,635.0
2634,据,jù,according to; based on,5,preposition,636.0
2635,距,jù,to be apart from; to distance,5,verb,637.0
2636,具备,jùbèi,to possess; to have,5,verb,638.0
2637,剧场,jùchǎng,theater,5,noun,639.0
2638,巨大,jùdà,huge; enormous,5,adjective,640.0
2639,据说,jùshuō,it is said; reportedly,5,verb,641.0
2640,具体,jùtǐ,concrete; specific; to embody,5,adjective、verb,642.0
2641,具有,jùyǒu,to have; to possess,5,verb,643.0
2642,捐,juān,to donate,5,verb,644.0
2643,绝对,juéduì,absolute; absolutely,5,adjective、adverb,645.0
2644,决赛,juésài,to compete in a final; final match,5,verb、noun,646.0
2645,角色,juésè,role; character,5,noun,647.0
2646,决心,juéxīn,determination; resolve; to be determined,5,noun、verb,648.0
2647,开发,kāifā,to develop,5,verb,649.0
2648,开放,kāifàng,to open; open,5,verb、adjective,650.0
2649,开幕,kāimù,to open a ceremony or exhibition,5,verb,651.0
2650,开幕式,kāimùshì,opening ceremony,5,noun,652.0
2651,开水,kāishuǐ,boiled water,5,noun,653.0
2652,开通,kāitōng,to open service or line,5,verb,654.0
2653,开业,kāiyè,to open for business,5,verb,655.0
2654,开展,kāizhǎn,to develop; to carry out,5,verb,656.0
2655,看,kān,to look after; to watch,5,verb,657.0
2656,看望,kànwàng,to visit,5,verb,658.0
2657,看作,kànzuò,to regard as; to consider as,5,verb,659.0
2658,靠,kào,to lean on; to rely on; to be close to,5,verb,660.0
2659,靠近,kàojìn,to approach; to get close to,5,verb,661.0
2660,颗,kē,,5,measure word for small round objects,662.0
2661,科研,kēyán,scientific research,5,verb,663.0
2662,可见,kějiàn,it can be seen that; obviously,5,conjunction,664.0
2663,可靠,kěkào,reliable; dependable,5,adjective,665.0
2664,可怕,kěpà,terrible; frightening,5,adjective,666.0
2665,克服,kèfú,to overcome,5,verb,667.0
2666,客服,kèfú,customer service,5,adjective,668.0
2667,客观,kèguān,objective,5,adjective,669.0
2668,客户,kèhù,client; customer,5,noun,670.0
2669,空间,kōngjiān,space,5,noun,671.0
2670,空中,kōngzhōng,in the air; sky; aerial,5,noun、adjective,672.0
2671,控制,kòngzhì,to control,5,verb,673.0
2672,口袋,kǒudai,pocket,5,noun,674.0
2673,口味,kǒuwèi,taste; flavor,5,noun,675.0
2674,库,kù,warehouse,5,noun,676.0
2675,宽,kuān,wide; broad; width; (to widen),5,adjective、noun、（verb）,677.0
2676,宽度,kuāndù,width,5,noun,678.0
2677,亏,kuī,to lose; to suffer a loss,5,verb,679.0
2678,昆虫,kūnchóng,insect,5,noun,680.0
2679,扩大,kuòdà,to expand,5,verb,681.0
2680,来源,láiyuán,source; origin; to originate from,5,noun、verb,682.0
2681,劳verb,láodòng,labor; work; to work,5,noun、verb,683.0
2682,老百姓,lǎobǎixìng,common people; ordinary people,5,noun,684.0
2683,老板,lǎobǎn,boss,5,noun,685.0
2684,老公,lǎogōng,husband,5,noun,686.0
2685,姥姥,lǎolao,grandmother,5,noun,687.0
2686,老婆,lǎopo,wife,5,noun,688.0
2687,姥爷,lǎoye,grandfather,5,noun,689.0
2688,乐观,lèguān,optimistic,5,adjective,690.0
2689,乐趣,lèqù,fun; delight,5,noun,691.0
2690,泪,lèi,tear,5,noun,692.0
2691,类,lèi,category; kind; measure word for categories,5,noun、,693.0
2692,泪水,lèishuǐ,tears,5,noun,694.0
2693,类似,lèisì,similar; alike,5,verb,695.0
2694,类型,lèixíng,type; category,5,noun,696.0
2695,梨,lí,pear,5,noun,697.0
2696,离婚,líhūn,to divorce,5,verb,698.0
2697,厘米,límǐ,,5,centimeter,699.0
2698,离职,lízhí,to resign; to leave a job,5,verb,700.0
2699,理论,lǐlùn,to theorize; theory,5,noun、verb,701.0
2700,里头,lǐtou,inside,5,noun,702.0
2701,理由,lǐyóu,reason; justification,5,noun,703.0
2702,力,lì,strength; power; suffix indicating force,5,noun、suffix,704.0
2703,立即,lìjí,immediately,5,adverb,705.0
2704,立刻,lìkè,immediately,5,adverb,706.0
2705,力量,lìliàng,strength; power,5,noun,707.0
2706,利润,lìrùn,profit,5,noun,708.0
2707,利益,lìyì,benefit; interest,5,noun,709.0
2708,利用,lìyòng,to use; to make use of,5,verb,710.0
2709,联合,liánhé,to unite; to combine; united,5,verb、adjective,711.0
2710,连接,liánjiē,to connect; to link,5,verb,712.0
2711,连忙,liánmáng,hurriedly; quickly,5,adverb,713.0
2712,连续,liánxù,continuous; successive; to continue,5,verb,714.0
2713,脸色,liǎnsè,complexion; face color,5,noun,715.0
2714,恋爱,liàn’ài,to fall in love; love; romance,5,verb、noun,716.0
2715,良好,liánghǎo,good; favorable,5,adjective,717.0
2716,粮食,liángshi,grain; food,5,noun,718.0
2717,量,liàng,quantity; amount,5,noun,719.0
2718,了不起,liǎobuqǐ,amazing; extraordinary,5,adjective,720.0
2719,列车,lièchē,train,5,noun,721.0
2720,临时,línshí,temporarily; temporary,5,adverb、adjective,722.0
2721,铃,líng,bell,5,noun,723.0
2722,灵活,línghuó,flexible; agile,5,adjective,724.0
2723,领,lǐng,to lead; collar,5,noun、verb,725.0
2724,领带,lǐngdài,neckite,5,noun,726.0
2725,领导,lǐngdǎo,to lead; leader,5,verb、noun,727.0
2726,领取,lǐngqǔ,to receive; to collect,5,verb,728.0
2727,领先,lǐngxiān,to lead; to be in the lead,5,verb,729.0
2728,领域,lǐngyù,field; domain; realm,5,noun,730.0
2729,令,lìng,to order; to command; order; command,5,verb、noun,731.0
2730,流传,liúchuán,to spread; to circulate,5,verb,732.0
2731,流感,liúgǎn,flu; influenza,5,noun,733.0
2732,浏览,liúlǎn,to browse,5,verb,734.0
2733,留言,liúyán,to leave a message; message,5,verb、noun,735.0
2734,龙,lóng,dragon,5,noun,736.0
2735,漏,lòu,to leak,5,verb,737.0
2736,录,lù,to record,5,verb,738.0
2737,陆地,lùdì,land,5,noun,739.0
2738,录取,lùqǔ,to enroll; to admit,5,verb,740.0
2739,路人,lùrén,passerby,5,noun,741.0
2740,路线,lùxiàn,route; path,5,noun,742.0
2741,陆续,lùxù,one after another; successively,5,adverb,743.0
2742,录音,lùyīn,to record; recording,5,verb、noun,744.0
2743,旅行社,lǚxíngshè,travel agency,5,noun,745.0
2744,论文,lùnwén,thesis; paper,5,noun,746.0
2745,逻辑,luójí,logic,5,noun,747.0
2746,骂,mà,to scold; to swear,5,verb,748.0
2747,买卖,mǎimai,business; buying and selling,5,noun,749.0
2748,满足,mǎnzú,to satisfy,5,verb,750.0
2749,忙碌,mánglù,busy,5,adjective,751.0
2750,毛笔,máobǐ,writing brush,5,noun,752.0
2751,毛病,máobìng,fault; trouble; illness,5,noun,753.0
2752,矛盾,máodùn,contradiction; to conflict; contradictory,5,noun、verb、adjective,754.0
2753,没法儿,méifǎr,there is no way,5,verb,755.0
2754,玫瑰,méigui,rose,5,noun,756.0
2755,媒体,méitǐ,media,5,noun,757.0
2756,美术,měishù,art; fine arts,5,noun,758.0
2757,美味,měiwèi,delicious food; delicacy,5,noun,759.0
2758,魅力,mèilì,charm; appeal,5,noun,760.0
2759,门诊,ménzhěn,outpatient clinic,5,verb,761.0
2760,迷,mí,to be fascinated; to be infatuated,5,verb,762.0
2761,迷路,mílù,to lose one’s way,5,verb,763.0
2762,秘密,mìmì,secret; secret,5,adjective、noun,764.0
2763,密切,mìqiè,close; intimate; to become close,5,adjective、verb,765.0
2764,秘书,mìshū,secretary,5,noun,766.0
2765,面2,miàn,side; aspect; surface,5,noun,767.0
2766,面积,miànjī,area,5,noun,768.0
2767,面临,miànlín,to face,5,verb,769.0
2768,面向,miànxiàng,to face; to be oriented toward,5,verb,770.0
2769,描述,miáoshù,to describe,5,verb,771.0
2770,敏感,mǐngǎn,sensitive,5,adjective,772.0
2771,名称,míngchēng,name; designation,5,noun,773.0
2772,名牌,míngpái,famous brand,5,noun,774.0
2773,名片,míngpiàn,business card,5,noun,775.0
2774,明确,míngquè,clear; explicit; to clarify,5,adjective、verb,776.0
2775,明显,míngxiǎn,obvious; evident,5,adjective,777.0
2776,明星,míngxīng,star,5,noun,778.0
2777,命,mìng,life; fate,5,noun,779.0
2778,命运,mìngyùn,destiny; fate,5,noun,780.0
2779,摸,mō,to touch,5,verb,781.0
2780,模糊,móhu,vague; blurred; to blur,5,adjective、verb,782.0
2781,模式,móshì,pattern; mode,5,noun,783.0
2782,陌生,mòshēng,strange; unfamiliar,5,adjective,784.0
2783,某,mǒu,certain; some,5,pronoun,785.0
2784,目光,mùguāng,gaze; look,5,noun,786.0
2785,木头,mùtou,wood,5,noun,787.0
2786,哪怕,nǎpà,even if; no matter,5,conjunction,788.0
2787,难得,nándé,rare; hard to come by,5,adjective,789.0
2788,难度,nándù,degree of difficulty,5,noun,790.0
2789,难以,nányǐ,difficult to; hard to,5,verb,791.0
2790,男子,nánzǐ,man; male,5,noun,792.0
2791,闹,nào,noisy; lively; to make a noise,5,adjective、verb,793.0
2792,闹钟,nàozhōng,alarm clock,5,noun,794.0
2793,内部,nèibù,inside; interior,5,noun,795.0
2794,能干,nénggàn,capable; competent,5,adjective,796.0
2795,年初,niánchū,beginning of the year,5,noun,797.0
2796,年代,niándài,era; decade,5,noun,798.0
2797,年纪,niánjì,age,5,noun,799.0
2798,年夜饭,niányèfàn,New Year’s Eve dinner,5,noun,800.0
2799,念,niàn,to read aloud; to miss,5,verb,801.0
2800,牛仔裤,niúzǎikù,jeans,5,noun,802.0
2801,浓,nóng,dense; thick; strong,5,adjective,803.0
2802,农民,nóngmín,farmer,5,noun,804.0
2803,农业,nóngyè,agriculture,5,noun,805.0
2804,女子,nǚzǐ,woman; female,5,noun,806.0
2805,哦,ò,oh (interjection indicating understanding),5,interjection,807.0
2806,欧洲,Ōuzhōu,Europe,5,noun,808.0
2807,偶然,ǒurán,accidental; by chance,5,adjective,809.0
2808,拍摄,pāishè,to shoot (photo or film),5,verb,810.0
2809,排列,páiliè,to arrange,5,verb,811.0
2810,派,pài,to send; to dispatch; (faction; measure word for groups),5,verb、（noun、）,812.0
2811,派出所,pàichūsuǒ,police substation,5,noun,813.0
2812,跑道,pǎodào,runway; track,5,noun,814.0
2813,赔,péi,to compensate,5,verb,815.0
2814,陪伴,péibàn,to accompany,5,verb,816.0
2815,培训,péixùn,to train,5,verb,817.0
2816,培养,péiyǎng,to cultivate; to foster,5,verb,818.0
2817,配,pèi,to match; suitable; well-matched,5,verb、adjective,819.0
2818,配合,pèihé,to coordinate; to cooperate,5,verb,820.0
2819,配送,pèisòng,to deliver,5,verb,821.0
2820,盆,pén,basin,5,noun,822.0
2821,碰,pèng,to bump; to touch,5,verb,823.0
2822,碰见,pèngjiàn,to run into; to meet,5,verb,824.0
2823,批1,pī,,5,measure word for batches,825.0
2824,批2,pī,to criticize; to approve,5,verb,826.0
2825,批准,pīzhǔn,to approve,5,verb,827.0
2826,匹,pǐ,,5,measure word for horses; cloth,828.0
2827,骗,piàn,to cheat; to deceive,5,verb,829.0
2828,拼,pīn,to piece together; to work hard,5,verb,830.0
2829,拼音,pīnyīn,to spell; pinyin,5,verb,831.0
